solver,jobs,elapsed,value
GurobiSolver,1,1.0549999842623947e-06,
CombinatorialBnB,1,8.160000106727239e-07,
GurobiSolver,1,1.0129999736818718e-06,
CombinatorialBnB,1,9.670000054029515e-07,
GurobiSolver,1,1.4839999948890181e-06,
CombinatorialBnB,1,9.870000212686136e-07,
GurobiSolver,1,1.3820000503983465e-06,
CombinatorialBnB,1,1.0410000186311663e-06,
GurobiSolver,1,1.0830000292116893e-06,
CombinatorialBnB,1,8.099999604382901e-07,
GurobiSolver,1,2.2919999764781096e-06,
CombinatorialBnB,1,8.979999392977334e-07,
GurobiSolver,1,1.1710000080711325e-06,
CombinatorialBnB,1,8.440000556220184e-07,
GurobiSolver,1,1.0410000186311663e-06,
CombinatorialBnB,1,8.040000238906941e-07,
GurobiSolver,1,1.0139999631064711e-06,
CombinatorialBnB,1,1.2549999155453406e-06,
GurobiSolver,1,1.08200003978709e-06,
CombinatorialBnB,1,1.0080000265588751e-06,
GurobiSolver,1,3.584999944905576e-06,
CombinatorialBnB,1,1.0080000265588751e-06,
GurobiSolver,1,1.1320000794512453e-06,
CombinatorialBnB,1,3.1990000479709124e-06,
GurobiSolver,1,1.0809999366756529e-06,
CombinatorialBnB,1,1.137000026574242e-06,
GurobiSolver,1,1.2189999551992514e-06,
CombinatorialBnB,1,9.420000424142927e-07,
GurobiSolver,1,1.0059999340228387e-06,
CombinatorialBnB,1,1.107999992200348e-06,
GurobiSolver,1,1.4319999763756641e-06,
CombinatorialBnB,1,1.7160000425064936e-06,
GurobiSolver,1,1.1119999498987454e-06,
CombinatorialBnB,1,1.0320000001229346e-06,
GurobiSolver,1,8.339999340023496e-07,
CombinatorialBnB,1,9.800000952964183e-07,
GurobiSolver,1,1.2340000239419169e-06,
CombinatorialBnB,1,1.3720000424655154e-06,
GurobiSolver,1,8.079999815890915e-07,
CombinatorialBnB,1,1.0190000239163055e-06,
GurobiSolver,1,1.194999981635192e-06,
CombinatorialBnB,1,1.5220000477711437e-06,
GurobiSolver,1,1.2369999922157149e-06,
CombinatorialBnB,1,1.1560000530153047e-06,
GurobiSolver,1,1.5410000742122065e-06,
CombinatorialBnB,1,1.0769999789772555e-06,
GurobiSolver,1,1.4849999843136175e-06,
CombinatorialBnB,1,1.7689999367576092e-06,
GurobiSolver,1,1.2589999869305757e-06,
