solver,jobs,elapsed,error
CombinatorialBnB,20,1.2890000107290689e-06,
GurobiSolver,20,1.8510004338168073e-06,
CombinatorialBnB,20,1.3449998732539825e-06,
GurobiSolver,20,1.7729998944560066e-06,
CombinatorialBnB,20,2.0190000213915482e-06,
GurobiSolver,20,1.5979999261617195e-06,
CombinatorialBnB,20,1.5529999473073985e-06,
GurobiSolver,20,2.0489997041295283e-06,
CombinatorialBnB,20,1.5350001376646105e-06,
GurobiSolver,20,2.1249998098937795e-06,
CombinatorialBnB,20,8.619999789516442e-07,
GurobiSolver,20,1.5140003597480245e-06,
CombinatorialBnB,20,1.520999830972869e-06,
GurobiSolver,20,2.076000328088412e-06,
CombinatorialBnB,20,1.0939997991954442e-06,
GurobiSolver,20,2.6230000003124587e-06,
CombinatorialBnB,20,1.130000327975722e-06,
GurobiSolver,20,1.7890001799969468e-06,
CombinatorialBnB,20,1.0669996299839113e-06,
GurobiSolver,20,1.7010002011375036e-06,
CombinatorialBnB,20,1.17799982035649e-06,
GurobiSolver,20,2.190000031987438e-06,
CombinatorialBnB,20,1.1699999049596954e-06,
GurobiSolver,20,1.2069999684172217e-06,
CombinatorialBnB,20,1.178000275103841e-06,
GurobiSolver,20,1.0030003068095539e-06,
CombinatorialBnB,20,7.520002327510156e-07,
GurobiSolver,20,1.455000074201962e-06,
CombinatorialBnB,20,1.1699999049596954e-06,
GurobiSolver,20,1.2189000244688941e-05,
CombinatorialBnB,20,7.959997674333863e-07,
GurobiSolver,20,1.4480001482297666e-06,
CombinatorialBnB,20,1.514999894425273e-06,
GurobiSolver,20,2.1220002963673323e-06,
CombinatorialBnB,20,8.629999683762435e-07,
GurobiSolver,20,1.779999820428202e-06,
CombinatorialBnB,20,1.0379999366705306e-06,
GurobiSolver,20,1.690000317466911e-06,
CombinatorialBnB,20,1.2149998838140164e-06,
GurobiSolver,20,2.7190003493160475e-06,
CombinatorialBnB,20,1.1369997992005665e-06,
GurobiSolver,20,1.7510001271148212e-06,
CombinatorialBnB,20,1.2600003174156882e-06,
GurobiSolver,20,5.002999841963174e-06,
CombinatorialBnB,20,1.0980002116411924e-06,
GurobiSolver,20,2.5469998945482075e-06,
CombinatorialBnB,20,1.1119996088382322e-06,
GurobiSolver,20,2.4080000002868474e-06,
CombinatorialBnB,20,8.769998203206342e-07,
GurobiSolver,20,1.9720000636880286e-06,
CombinatorialBnB,20,1.018000148178544e-06,
GurobiSolver,20,2.5570002435415518e-06,
CombinatorialBnB,20,1.0040002962341532e-06,
GurobiSolver,20,1.8559999261924531e-06,
CombinatorialBnB,20,7.720000212430023e-07,
GurobiSolver,20,1.7369998204230797e-06,
CombinatorialBnB,20,7.219996405183338e-07,
GurobiSolver,20,2.1199998627707828e-06,
CombinatorialBnB,20,1.7359998309984803e-06,
GurobiSolver,20,2.0140000742685515e-06,
CombinatorialBnB,20,1.204999989568023e-06,
GurobiSolver,20,1.928000074258307e-06,
CombinatorialBnB,20,1.5499999790336005e-06,
GurobiSolver,20,1.3789999684377108e-06,
CombinatorialBnB,20,1.2269997569092084e-06,
GurobiSolver,20,1.2779996723111253e-06,
CombinatorialBnB,20,1.0260000635753386e-06,
GurobiSolver,20,1.6549997781112324e-06,
CombinatorialBnB,20,1.1090000953117851e-06,
GurobiSolver,20,1.5050000001792796e-06,
CombinatorialBnB,20,1.154000074166106e-06,
GurobiSolver,20,1.7820002540247515e-06,
CombinatorialBnB,20,1.0839999049494509e-06,
GurobiSolver,20,1.4170000213198364e-06,
CombinatorialBnB,20,8.479996722599026e-07,
GurobiSolver,20,1.5539999367319979e-06,
CombinatorialBnB,20,1.0769999789772555e-06,
GurobiSolver,20,1.6319995665980969e-06,
CombinatorialBnB,20,9.509999472356867e-07,
GurobiSolver,20,1.5959999473125208e-06,
CombinatorialBnB,20,8.649999472254422e-07,
GurobiSolver,20,1.4069996723264921e-06,
CombinatorialBnB,20,1.1629999789875e-06,
GurobiSolver,20,1.8410000848234631e-06,
CombinatorialBnB,20,9.769996722752694e-07,
GurobiSolver,20,1.606000296305865e-06,
CombinatorialBnB,20,2.856000264728209e-06,
GurobiSolver,20,1.2919999790028669e-06,
CombinatorialBnB,20,9.88000010693213e-07,
GurobiSolver,20,1.9389999579288997e-06,
CombinatorialBnB,20,1.1619999895629007e-06,
GurobiSolver,20,1.2890000107290689e-06,
CombinatorialBnB,20,1.0250000741507392e-06,
GurobiSolver,20,1.2119999155402184e-06,
CombinatorialBnB,20,1.699000222288305e-06,
GurobiSolver,20,2.8059998840035405e-06,
CombinatorialBnB,20,1.1189999895577785e-06,
GurobiSolver,20,1.89200000022538e-06,
